(1.70711,-0.4375)
(0.289053,0.863671)
(-0.59489,-0.444116)
(0.27607,0.30089)
(-0.650139,-1.26652)
(0.110312,1.46118)
(0.483343,-0.266942)
(-0.134337,0.215084)
(0.447634,-1.44323)
(-1.00089,1.27753)
(0.750944,0.0918481)
(-0.617344,-0.592826)
(0.234293,0.116331)
(0.653417,0.61341)
(-0.468861,-0.96962)
(-0.230844,0.473638)
(-0.261688,0.0572551)
(0.785844,-0.0945212)
(0.133448,0.397981)
(-1.10904,-0.521011)
(0.616542,-0.238119)
(0.0860911,0.439249)
(0.355303,0.368762)
(-0.729262,-0.267797)
(0.291812,-0.562456)
(-0.17027,0.136435)
(0.437231,0.588674)
(-0.197815,-0.0962244)
(-0.601385,0.00882042)
(0.997328,-0.545404)
(0.059347,-0.332093)
(-1.18234,1.18592)
(0.463489,-0.314008)
(0.386599,0.0156523)
(-0.289691,-0.340135)
(0.735717,-0.514973)
(-0.616466,0.564767)
(-0.623244,0.214477)
(0.504318,0.737886)
(0.157383,-1.02355)
(0.315264,-0.559034)
(-0.217972,0.237948)
(-0.25066,0.938506)
(-0.0257976,-0.193979)
(-0.193711,0.168129)
(0.443271,-0.907935)
(0.151264,-0.132678)
(-0.413112,0.527894)
(0.325453,0.694921)
(-0.120023,-0.238108)
(-0.155305,-1.13194)
(-0.425277,0.573828)
(0.357552,0.562877)
(1.0243,-0.40125)
(-0.51821,-0.0515526)
(-1.1213,-0.202328)
(0.631743,0.173936)
(0.291036,0.692188)
(-0.26045,-0.946032)
(0.405143,0.176467)
(-0.117451,0.276749)
(-0.309633,-0.21168)
(-0.164422,0.0198773)
(0.718472,-0.0643781)
(1.70711,-0.4375)
(0.289053,0.863671)
(-0.59489,-0.444116)
(0.27607,0.30089)
(-0.650139,-1.26652)
(0.110312,1.46118)
(0.483343,-0.266942)
(-0.134337,0.215084)
(0.447634,-1.44323)
(-1.00089,1.27753)
(0.750944,0.0918481)
(-0.617344,-0.592826)
(0.234293,0.116331)
(0.653417,0.61341)
(-0.468861,-0.96962)
(-0.230844,0.473638)
(-0.261688,0.0572551)
(0.785844,-0.0945212)
(0.133448,0.397981)
(-1.10904,-0.521011)
(0.616542,-0.238119)
(0.0860911,0.439249)
(0.355303,0.368762)
(-0.729262,-0.267797)
(0.291812,-0.562456)
(-0.17027,0.136435)
(0.437231,0.588674)
(-0.197815,-0.0962244)
(-0.601385,0.00882042)
(0.997328,-0.545404)
(0.059347,-0.332093)
(-1.18234,1.18592)
(0.463489,-0.314008)
(0.386599,0.0156523)
(-0.289691,-0.340135)
(0.735717,-0.514973)
(-0.616466,0.564767)
(-0.623244,0.214477)
(0.504318,0.737886)
(0.157383,-1.02355)
(0.315264,-0.559034)
(-0.217972,0.237948)
(-0.25066,0.938506)
(-0.0257976,-0.193979)
(-0.193711,0.168129)
(0.443271,-0.907935)
(0.151264,-0.132678)
(-0.413112,0.527894)
(0.325453,0.694921)
(-0.120023,-0.238108)
(-0.155305,-1.13194)
(-0.425277,0.573828)
(0.357552,0.562877)
(1.0243,-0.40125)
(-0.51821,-0.0515526)
(-1.1213,-0.202328)
(0.631743,0.173936)
(0.291036,0.692188)
(-0.26045,-0.946032)
(0.405143,0.176467)
(-0.117451,0.276749)
(-0.309633,-0.21168)
(-0.164422,0.0198773)
(0.718472,-0.0643781)
(-1.10355,0.84283)
(0.833473,-0.836483)
(0.337177,-0.569277)
(-0.2336,0.697212)
(-0.533769,0.161728)
(0.0739914,0.313065)
(-0.740606,-0.463886)
(1.86857,-0.181302)
(-0.241576,-0.505219)
(-0.717162,0.937383)
(-0.894849,0.196728)
(0.637319,-0.505665)
(0.887108,-0.148082)
(-0.307419,0.0816516)
(-0.113401,0.174501)
(-0.894475,0.267315)
(0.818684,-0.898531)
(0.212121,0.670589)
(-0.328951,0.0488887)
(-0.0184904,-0.0559835)
(-0.252107,0.46342)
(0.446307,-1.58583)
(0.123532,1.09469)
(-0.305332,-0.0237136)
(-0.252941,0.222185)
(0.259901,0.231851)
(0.0400623,-0.685537)
(0.121195,-0.426905)
(-0.0323853,0.338245)
(-0.321722,0.863104)
(0.395128,-0.815525)
(-0.412862,0.892714)
(0.335148,-0.621576)
(-0.244042,-0.748646)
(0.172551,-0.0187519)
(0.438847,1.46673)
(-0.786624,-0.130522)
(0.125126,-0.731237)
(0.00894013,-0.00592675)
(0.744022,-0.80431)
(-0.766615,1.64975)
(0.110926,-0.630131)
(0.00414722,-0.425597)
(0.327721,0.69186)
(-0.12302,-0.51933)
(-0.604211,0.633507)
(0.689118,-1.27834)
(-0.180185,0.881395)
(0.0567897,0.129345)
(0.00126757,-0.39455)
(-0.175714,0.826467)
(0.15997,-0.281004)
(-0.345712,-1.5528)
(0.138198,1.00857)
(0.609871,0.556398)
(-0.465331,0.163318)
(0.381142,-0.173593)
(-1.21922,-0.892908)
(0.763101,0.241559)
(0.317829,-0.22634)
(0.038076,1.23865)
(-0.0466227,-0.440819)
(-0.302763,-0.0881063)
(-0.71945,-1.05116)
(0.875,1.3125)
(0.513486,-0.435834)
(-0.573631,-0.375704)
(-0.238452,0.204375)
(-0.0197249,0.724342)
(0.542171,0.0186786)
(-0.437201,-1.03074)
(0.101194,-0.620112)
(-0.187166,1.40445)
(0.646549,0.165319)
(-0.542254,-0.333014)
(-0.0404679,0.0499569)
(0.351408,-0.520473)
(-0.661369,-0.306766)
(0.896225,0.354638)
(-0.418168,0.795604)
(-0.519292,0.291106)
(0.737943,-0.945093)
(0.337341,-1.08151)
(-0.584574,1.47923)
(-1.10041,-0.196695)
(1.28969,0.215078)
(0.204105,-0.071878)
(0.461369,-0.649178)
(-1.38834,0.410018)
(0.245445,0.0412183)
(-0.257455,-0.0423409)
(0.879098,-0.257683)
(0.0960144,0.578632)
(0.02149,-0.0425182)
(-0.573079,-0.57664)
(-0.882002,0.207526)
(1.09307,0.0729994)
(0.518598,0.173752)
(-0.413317,-0.579223)
(-0.524831,1.01386)
(0.486986,-0.579031)
(-0.236809,-0.0110348)
(-0.0741489,-0.420094)
(0.186069,0.0661503)
(-0.00370697,0.985236)
(-0.0588659,-0.279974)
(0.552946,-0.630682)
(-0.641343,-0.0216885)
(-0.197206,0.255018)
(-0.209426,0.24447)
(0.921791,-0.187913)
(0.306374,0.122068)
(-0.865903,-0.121679)
(-0.343313,-0.51552)
(0.607689,1.19518)
(-0.134694,-1.09846)
(0.236976,0.528086)
(-0.242336,-0.352795)
(-0.0070474,0.436848)
(0.212281,-0.173925)
(-0.0427517,0.396176)
(-0.225063,-1.03949)
(-0.625764,0.526473)
(1.093,-0.0195054)
(0.371726,1.04784)
(-0.747615,-1.57344)
(-0.390704,0.688752)
(-0.27499,-0.159495)
(1.11872,0.275888)
(-0.0166848,-0.255253)
(-0.254186,-0.0362741)
(-0.454696,0.108402)
(-0.0390181,0.497891)
(0.482457,-0.638793)
(-0.288123,-0.214661)
(0.432137,0.564358)
(0.0430277,-0.709414)
(-0.64751,1.2135)
(0.0439633,-0.701591)
(-0.33892,0.0597881)
(1.70938,-0.117772)
(-0.79998,-0.834333)
(-1.1641,1.38178)
(0.948234,-0.100867)
(-0.326885,-0.418968)
(0.508527,0.362106)
(0.142123,-0.779757)
(-0.45252,-0.177425)
(-0.325218,0.797222)
(-0.0605361,0.293878)
(1.04386,0.0827128)
(-0.811076,-0.655187)
(0.325611,-0.592796)
(-0.0766489,0.198064)
(-0.0141296,0.932862)
(-0.241211,0.135316)
(-0.266305,-0.513671)
(0.58362,0.204956)
(0.790792,-1.11105)
(-0.87838,0.369255)
(-0.923396,0.814485)
(0.739919,0.641766)
(0.489627,-0.86263)
(0.0219804,-0.867733)
(-0.498032,0.357822)
(-0.00168684,0.794791)
(0.485,-0.424251)
(-0.965727,0.240072)
(0.553479,0.0498349)
(0.751865,-0.334105)
(-0.834992,-0.650571)
(-0.32608,1.10854)
(0.922803,-0.450425)
(-0.318253,0.119076)
(-0.370113,0.495102)
(-0.24496,-0.673229)
(0.570657,-0.705475)
(0.824599,0.926021)
(-1.00729,0.425507)
(-0.373215,-0.211064)
(-0.036178,-0.76137)
(0.794156,0.451858)
(0.280087,-0.197421)
(-0.622802,0.227076)
(-0.297722,0.293248)
(0.519378,-0.206425)
(-0.413538,-0.110287)
(0.46969,-0.750625)
(-0.436915,0.995962)
(0.465442,0.1257)
(-0.278021,-0.157572)
(0.273499,-0.402929)
(-0.832107,-0.3125)
(0.910187,0.472111)
(-0.402451,0.421982)
(-0.110404,-0.160179)
(0.689275,-0.198607)
(-0.705922,-0.781798)
(0.195949,1.03852)
(-0.179261,0.0156505)
(0.424275,-0.707517)
(-0.744471,0.524901)
(1.10401,0.291322)
(-0.551653,-0.565734)
(-0.309863,-0.351684)
(0.292801,0.231366)
(-0.060403,1.15352)
(-0.0246661,-0.721373)
(0.0899614,-0.95213)
(0.114995,0.908541)
(-0.363524,0.238892)
(0.806268,-0.687184)
