(-0.542893,-0.25)
(-0.258565,0.0800719)
(0.728799,0.468283)
(-0.0461977,-0.413008)
(-0.292406,-0.123037)
(-0.0882662,-0.397193)
(0.165853,0.600698)
(0.125557,-0.0917193)
(-0.105487,0.545568)
(0.105498,-0.770681)
(-0.809181,0.408493)
(1.39016,-1.01925)
(-0.724255,1.01365)
(-0.12047,0.120059)
(-0.295117,-0.10097)
(0.820801,-0.209249)
(-0.118225,-0.264311)
(-0.795562,-0.064998)
(0.97627,0.795389)
(-0.628229,-0.724226)
(-0.00900876,0.46021)
(-0.0927484,-0.147779)
(1.31482,-0.313151)
(-1.75653,0.726833)
(0.913503,-1.08635)
(-0.305389,0.579596)
(-0.326088,0.659507)
(1.16129,-1.00285)
(-0.635232,0.515117)
(-0.555555,-0.0765958)
(0.397082,-0.206073)
(0.320914,-0.227244)
(-0.214829,0.899902)
(-0.20894,-0.512095)
(0.302193,-0.0818523)
(-0.165619,-0.0728037)
(0.0434637,0.148359)
(0.0479264,-0.0214443)
(-0.138249,0.156542)
(0.00322049,-0.217106)
(0.095585,0.0987801)
(0.172552,-0.0738371)
(-0.0998022,0.0830734)
(-0.281604,0.0141661)
(0.0549484,-0.11135)
(0.085688,0.0673825)
(0.319086,-0.0946072)
(0.017668,0.0938829)
(-0.760975,0.379162)
(0.459794,-0.525879)
(0.157482,-0.26131)
(0.0828845,0.473189)
(-0.678219,0.312569)
(0.673755,-0.525892)
(-0.170396,0.297848)
(0.317918,-0.493854)
(-0.820917,0.300355)
(-0.137633,0.278954)
(1.55024,0.0521561)
(-0.950376,-0.817315)
(-0.368332,0.671089)
(0.0903602,-0.282283)
(0.879313,0.505088)
(-0.709364,-0.283766)
(-0.542893,-0.25)
(-0.258565,0.0800719)
(0.728799,0.468283)
(-0.0461977,-0.413008)
(-0.292406,-0.123037)
(-0.0882662,-0.397193)
(0.165853,0.600698)
(0.125557,-0.0917193)
(-0.105487,0.545568)
(0.105498,-0.770681)
(-0.809181,0.408493)
(1.39016,-1.01925)
(-0.724255,1.01365)
(-0.12047,0.120059)
(-0.295117,-0.10097)
(0.820801,-0.209249)
(-0.118225,-0.264311)
(-0.795562,-0.064998)
(0.97627,0.795389)
(-0.628229,-0.724226)
(-0.00900876,0.46021)
(-0.0927484,-0.147779)
(1.31482,-0.313151)
(-1.75653,0.726833)
(0.913503,-1.08635)
(-0.305389,0.579596)
(-0.326088,0.659507)
(1.16129,-1.00285)
(-0.635232,0.515117)
(-0.555555,-0.0765958)
(0.397082,-0.206073)
(0.320914,-0.227244)
(-0.214829,0.899902)
(-0.20894,-0.512095)
(0.302193,-0.0818523)
(-0.165619,-0.0728037)
(0.0434637,0.148359)
(0.0479264,-0.0214443)
(-0.138249,0.156542)
(0.00322049,-0.217106)
(0.095585,0.0987801)
(0.172552,-0.0738371)
(-0.0998022,0.0830734)
(-0.281604,0.0141661)
(0.0549484,-0.11135)
(0.085688,0.0673825)
(0.319086,-0.0946072)
(0.017668,0.0938829)
(-0.760975,0.379162)
(0.459794,-0.525879)
(0.157482,-0.26131)
(0.0828845,0.473189)
(-0.678219,0.312569)
(0.673755,-0.525892)
(-0.170396,0.297848)
(0.317918,-0.493854)
(-0.820917,0.300355)
(-0.137633,0.278954)
(1.55024,0.0521561)
(-0.950376,-0.817315)
(-0.368332,0.671089)
(0.0903602,-0.282283)
(0.879313,0.505088)
(-0.709364,-0.283766)
(-0.537913,-0.341529)
(0.972248,-0.0611655)
(0.116685,0.54185)
(-0.497214,-0.310081)
(-0.133963,0.707201)
(-0.498628,-0.451615)
(1.03611,-1.0017)
(0.239879,0.0214031)
(-0.733373,1.70638)
(0.0607457,0.207116)
(-0.206381,-1.68948)
(0.0772505,0.451279)
(0.114644,-1.05909)
(1.0642,1.53702)
(-1.04629,0.691901)
(-0.632978,-0.514924)
(0.784771,-1.1904)
(-0.272951,0.267268)
(0.434757,-0.478835)
(0.368371,1.44691)
(-0.762692,0.851228)
(-0.574668,-1.56217)
(0.919418,-0.479716)
(-0.0939871,-0.312875)
(0.263067,0.643376)
(-0.604208,1.92747)
(-0.0375506,-1.26637)
(0.902982,-0.817096)
(-0.78029,-0.772298)
(-0.460587,1.7132)
(0.600899,-0.444569)
(0.748259,0.425813)
(-0.509553,-0.0824061)
(-0.54169,-0.860977)
(-0.548068,0.0260329)
(1.41785,0.288482)
(-0.207046,0.573421)
(-0.281571,0.0932575)
(-0.451728,-0.640513)
(0.432961,-0.373207)
(0.235591,0.556158)
(-0.6174,0.0688762)
(0.437836,-0.222989)
(-0.147868,0.391478)
(0.229532,-0.13205)
(-0.163245,-0.511642)
(0.346492,0.182019)
(-1.24515,0.225099)
(1.00854,0.614563)
(0.132491,-1.25654)
(0.287579,0.439603)
(-0.991871,0.606431)
(0.38477,-0.53362)
(-0.167739,-0.0310456)
(0.277513,-0.0132116)
(0.320572,0.266963)
(-0.309458,-0.103478)
(-0.445737,-0.168737)
(0.599331,0.388874)
(-0.24073,-0.458539)
(-0.0451844,0.109199)
(-0.0149439,0.339323)
(0.223343,-0.552981)
(-0.0175741,0.440939)
(-0.1875,0.0625)
(0.13299,-0.269172)
(-0.227164,-0.154413)
(0.00643162,0.216997)
(0.323406,0.298417)
(-0.135152,-0.383619)
(0.282543,-0.181846)
(-0.463311,0.340139)
(-0.0704709,0.599019)
(0.0366779,-1.15425)
(0.0865701,-0.112943)
(0.729951,1.44841)
(-0.464055,-1.24505)
(-0.45584,0.568437)
(-0.314962,-0.0527017)
(0.64815,-0.11717)
(0.832817,-0.142666)
(-1.44507,-0.585033)
(0.675222,1.48767)
(0.0539332,-0.196466)
(-0.222576,-1.11649)
(-0.493774,0.48624)
(0.971377,-0.574588)
(-0.302635,1.50038)
(-0.162045,-0.753058)
(0.217088,-0.618015)
(-0.362786,0.581977)
(-0.104487,0.420703)
(0.656474,-0.778794)
(-0.803982,-0.209794)
(0.816586,0.933596)
(0.387131,-0.579852)
(-1.47097,0.423027)
(-0.0110155,0.214498)
(0.863929,-1.31388)
(1.06049,0.392511)
(-1.5351,0.831266)
(-0.313605,0.0235878)
(0.894274,0.176848)
(-0.216318,-1.69043)
(-0.0305083,0.900168)
(-0.107204,0.325689)
(0.472578,0.774393)
(-0.499351,-1.48312)
(-0.10832,0.4233)
(0.393763,-0.100325)
(-0.222244,0.908541)
(0.160515,-0.653312)
(-0.300541,-0.4392)
(0.718076,0.112341)
(-0.806405,0.698859)
(0.271101,-0.0249169)
(-0.286002,-0.29186)
(0.527959,-0.433782)
(0.299831,-0.0876112)
(-0.87449,0.796549)
(0.184766,-0.0645166)
(0.175295,-0.125753)
(0.149418,-0.440933)
(-0.224659,0.23792)
(0.219658,-0.0218297)
(0.00244128,0.244756)
(-0.462043,-0.210684)
(0.145545,-0.08102)
(0.257583,0.210248)
(0.382046,0.473776)
(-0.576818,-1.06718)
(-0.0925301,0.126748)
(-0.198983,0.434576)
(0.777745,0.356018)
(-0.0550172,-0.207483)
(-0.695997,-0.0785977)
(0.475573,-0.829874)
(-0.0813503,0.653696)
(-0.182011,0.274243)
(0.157586,-0.0640937)
(0.0366378,0.177571)
(0.41271,-0.646444)
(-0.834963,0.0970187)
(0.122482,0.215854)
(0.608342,-0.0351182)
(-0.28365,0.250123)
(-0.177193,0.0235468)
(-0.112247,-0.530286)
(0.562553,0.120534)
(-0.160049,0.389047)
(-0.617955,-0.248049)
(0.603472,-0.0466274)
(-0.250258,-0.180567)
(0.100561,0.948567)
(0.173968,-0.857297)
(0.127112,-0.472975)
(-0.768425,1.07685)
(0.104125,-0.263635)
(0.811784,-0.724931)
(-0.383627,1.04331)
(-0.149272,-0.518544)
(0.220244,-0.039546)
(-0.308005,-0.107507)
(0.0631268,0.0259473)
(-0.19102,0.606367)
(0.876543,-0.561527)
(-0.572263,-0.249803)
(-0.185197,0.557524)
(-0.0607065,0.0684275)
(0.663694,-0.407388)
(-1.01412,-0.243804)
(1.00345,0.41577)
(-0.428112,0.275094)
(-0.0159835,-0.362798)
(-0.101991,0.540769)
(0.590661,-1.47907)
(-0.891542,1.10363)
(-0.12237,0.408855)
(1.07851,-0.626196)
(0.117244,-0.100328)
(-1.11751,0.482814)
(0.425668,-0.651791)
(-0.254332,0.64159)
(0.232456,-0.613549)
(0.168104,0.703237)
(0.495274,-0.419998)
(-0.320498,-0.102473)
(-0.994434,0.294452)
(0.0846794,0.0707299)
(1.00336,-0.82357)
(0.145585,0.93528)
(-0.0792861,0.0545325)
(-0.832107,-1)
(-0.168498,1.01135)
(0.527992,-0.135445)
(0.429144,-0.690562)
(-0.532186,0.0599619)
(0.83347,1.24234)
(-1.01583,-1.10021)
(-0.261344,-0.215557)
(0.604242,1.22067)
(0.313703,-1.49952)
(-0.189965,1.15403)
(-0.211213,-0.495402)
(0.276991,-0.386164)
(-0.621976,1.35944)
(0.197613,-1.49335)
(0.414966,0.819734)
(0.199055,-0.483456)
(-0.532613,0.382987)
(0.23311,0.07085)
(-0.733406,-0.50829)
(0.916682,0.386111)
(0.0322911,0.239071)
(-0.407195,-0.548483)
(-0.124015,0.335754)
(0.466836,-0.314337)
(-0.578117,0.053577)
(0.666373,0.544185)
(-0.475977,-0.21693)
(-0.0244161,-0.343204)
(0.306451,0.206)
(0.0447922,-0.508022)
(-0.249359,0.693286)
(-0.218229,0.0634862)
(0.059211,-0.149137)
(0.947318,-0.295894)
(-0.869218,0.179366)
(-0.321901,-0.294967)
(0.739107,0.0852411)
(-0.230272,0.853521)
(-0.451407,-0.750516)
(0.933395,0.0752849)
(-0.406302,-0.119285)
(-0.464865,-0.0688697)
(-0.0918265,0.392627)
(0.958463,-0.236834)
(-0.379482,0.197078)
(-0.391147,-0.0229783)
(0.417606,-0.209079)
(-0.239642,-0.0589115)
(-0.329983,0.0186261)
(0.585121,0.19188)
(0.354896,0.127527)
(-0.923946,-0.169006)
(0.279532,0.10216)
(0.230959,-0.406073)
(-0.18491,0.146457)
(0.0881184,0.414058)
(-0.32724,-0.555864)
(0.667361,0.505649)
(-0.0125476,0.050943)
(-0.713123,-0.514534)
(-0.00394948,0.0496345)
(0.213619,-0.0343668)
(0.36196,0.749654)
(0.787913,-0.783471)
(-1.60904,0.352154)
(0.115154,0.0922757)
(0.565712,-0.515699)
(-0.296486,0.407496)
(0.877973,-0.315744)
(-0.421407,0.504289)
(-0.604067,-0.181192)
(0.282406,-0.0404715)
(-0.344575,-0.197668)
(0.665073,-0.163214)
(-0.317817,0.81984)
(0.915171,-0.770621)
(-0.645,0.208412)
(-1.18197,0.161508)
(0.244671,-0.150376)
(1.46898,0.293874)
(0.0492941,-0.104201)
(-0.559395,-0.890178)
(-0.85306,0.629951)
(0.17322,0.722844)
(0.413733,-0.488254)
(0.200403,0.368641)
(0.743211,-1.50832)
(-1.15943,0.746117)
(0.314005,0.861685)
(-0.667911,-0.855965)
(0.140686,0.916795)
(1.08254,-0.423259)
(0.295944,-0.941747)
(-1.37045,0.209165)
(0.450547,0.670943)
(-0.557389,0.399348)
(0.376389,-0.260038)
(0.689624,-0.219285)
(0.0184726,-0.852202)
(-0.116272,0.591596)
(-1.37677,0.208626)
(0.434009,0.41874)
(1.14434,-0.0385726)
(0.141043,-0.486706)
(-1.19981,-0.577156)
(0.43785,0.301514)
(-0.194402,1.11645)
(0.337806,-1.01898)
(0.242066,0.710453)
(-0.703716,-0.854555)
(0.1105,0.085755)
(0.658537,0.72746)
(-0.239128,-0.0837137)
(-0.0619907,-1.07348)
(-0.839694,0.349478)
(0.617386,1.5093)
(0.765506,-0.971046)
(-0.795102,-0.564)
(0.252001,-0.357588)
(-0.0182237,1.10481)
(-0.458879,0.0969181)
(-0.00828734,-0.243562)
(0.531268,-0.342629)
(0.575062,-0.160717)
(-0.759554,0.316049)
(-0.30011,0.153721)
(-0.29503,-0.206848)
(1.0625,0.1875)
(-0.203318,-0.148225)
(-0.368035,-0.0389952)
(0.245417,0.125385)
(-0.353919,-0.18723)
(0.520399,0.126051)
(-0.368422,-0.0846259)
(-0.356178,0.130977)
(0.446517,0.0141576)
(0.495959,0.227171)
(-0.196349,-0.273896)
(-0.36647,-0.985556)
(-0.650757,1.31504)
(0.244442,0.272855)
(0.962974,-0.869891)
(0.552593,0.290241)
(-1.15108,-0.18279)
(-0.880529,-0.0329028)
(0.771753,0.136772)
(0.445328,0.159866)
(0.389113,0.201477)
(-0.724202,-0.501993)
(-0.196091,0.177155)
(0.625749,-0.187095)
(-0.584043,0.0238044)
(-0.202015,0.492328)
(0.650002,-0.374353)
(0.360132,0.0627946)
(-0.323112,0.00610267)
(-0.772988,-0.0547126)
(0.282345,0.0287044)
(0.347061,-0.31203)
(0.154027,0.363585)
(-0.218422,0.282521)
(0.239492,-0.0370733)
(-0.843198,-0.680375)
(0.870563,0.161222)
(0.126273,-0.0627739)
(-1.10482,1.00057)
(0.257823,-0.770875)
(1.25993,-0.165071)
(-0.171648,0.162479)
(-1.27512,0.309329)
(0.229674,-0.524308)
(-0.306101,0.192904)
(1.82146,0.442936)
(-0.916829,-0.856419)
(-0.26287,1.11083)
(-0.436278,-0.72204)
(0.240749,-0.0212099)
(0.663338,-0.545447)
(-0.50867,1.33957)
(0.132328,-0.499166)
(0.225686,-0.714482)
(-0.346967,1.48842)
(-0.143922,-1.66335)
(0.123106,0.426095)
(0.0484506,0.345338)
(0.392549,0.364995)
(-0.257731,0.0461727)
(-0.0599796,-0.964296)
(-0.357724,0.168644)
(0.440123,0.23739)
(-0.153795,0.711092)
(-0.00758255,-0.585248)
(0.256842,-0.658535)
(0.029319,1.08038)
(-0.205608,-0.436234)
(-0.610484,-0.0973857)
(0.535075,0.0649343)
(0.512793,-0.212863)
(-0.382953,0.164654)
(-0.106514,0.698764)
(-0.0337958,-0.697149)
(-0.254266,-0.319159)
(0.517942,0.152567)
(0.0494487,0.454667)
(-0.733784,0.0795198)
(0.840139,-0.634888)
(-0.0715031,0.674949)
(-0.624659,-0.495136)
(0.0607133,-0.105166)
(0.434088,0.267317)
(0.092306,0.199094)
