(-1.11742,-0.1875)
(1.23983,-0.981309)
(0.637974,0.213405)
(-0.976795,0.319091)
(0.25291,1.21985)
(-0.603893,-0.944263)
(0.412296,-0.39436)
(0.530909,-0.0446072)
(-0.423405,0.42747)
(-0.0923879,-0.383327)
(-0.0348165,0.661138)
(0.302368,-0.123016)
(-0.0829599,-0.386431)
(-0.552734,0.312852)
(0.402187,-0.841011)
(0.787159,0.925302)
(-1.07685,-0.14904)
(0.20224,-0.0909434)
(-0.0697844,0.292143)
(0.571443,-0.555946)
(-0.291773,0.0252009)
(-0.253821,0.358402)
(0.0642502,-0.232842)
(0.0957771,0.306075)
(0.348316,-0.533171)
(-0.538737,0.983863)
(0.73361,-0.828707)
(-1.32329,-0.528435)
(0.556527,0.996924)
(0.878218,-0.245621)
(-0.0194674,0.276103)
(-1.17179,-0.396775)
(0.166575,-0.0740454)
(0.177048,0.0314956)
(0.754006,-0.216034)
(-0.404645,0.884417)
(0.228737,-0.753377)
(-1.15169,0.522618)
(0.59352,-0.715114)
(0.621439,0.507865)
(-0.170725,-0.254684)
(-0.186774,-0.00654623)
(-0.830745,0.33686)
(1.11311,0.13777)
(0.0178956,-0.526559)
(-0.463871,0.295368)
(-0.244812,-0.663462)
(0.208814,0.495163)
(0.435612,0.520634)
(-0.054142,-0.167604)
(-0.263745,-0.0447552)
(-0.552092,-0.906532)
(0.75684,-0.0309165)
(-0.0305776,1.15559)
(0.0406589,0.188209)
(-0.71975,-0.114846)
(0.956992,-1.60999)
(-0.543787,0.961126)
(0.00238443,0.243626)
(0.161775,-0.30248)
(-0.0360727,0.724575)
(-0.464799,-0.0205026)
(1.14625,-1.00288)
(-0.775384,-0.390802)
(-0.0928301,0.861136)
(-0.180166,0.644768)
(0.435062,-0.0654405)
(0.173848,-0.670778)
(-0.132329,-0.609721)
(-0.330908,-0.0492872)
(0.245098,1.85752)
(-0.0434766,-0.97873)
(-0.452623,-0.155057)
(0.696775,-0.431132)
(0.306708,0.667824)
(-0.754621,-0.344266)
(-0.191926,0.180434)
(0.32296,-0.0873677)
(0.407706,0.330254)
(-0.462775,-0.217396)
(0.299339,-0.515775)
(-0.420181,0.534038)
(0.620848,-0.0871649)
(-0.799445,0.336439)
(0.237145,-0.749701)
(0.635939,0.686039)
(-0.0870263,-0.27624)
(-1.02774,-0.193473)
(0.599724,0.0715707)
(0.276811,0.600083)
(0.0501771,-0.654648)
(-0.357102,-0.092177)
(-0.041257,0.264441)
(-0.0160749,0.442107)
(0.283457,-0.432809)
(-0.235382,-0.488267)
(0.518374,0.711748)
(-0.375954,-0.411761)
(-0.591212,0.386328)
(0.572233,0.169039)
(0.233222,-0.748986)
(-0.331194,0.143428)
(0.380888,0.439814)
(-0.352538,-0.0561027)
(-0.198415,-0.566815)
(0.0744806,1.09642)
(0.186741,-1.17033)
(0.236227,0.709052)
(0.044816,-0.254189)
(-0.361663,-0.289208)
(-0.203375,0.202817)
(-0.20399,0.979126)
(0.717306,-0.997841)
(0.640863,-0.384347)
(-1.57048,0.420687)
(0.652457,0.518814)
(0.261538,-0.601631)
(-0.383564,0.320313)
(0.0725482,-0.140077)
(0.102993,-0.0359983)
(0.0924686,0.462331)
(-0.00349961,-1.18253)
(0.00247202,0.5103)
(-0.224993,1.12342)
(-0.22894,-0.722516)
(0.167458,-0.445692)
(0.688609,0.280521)
(-0.277935,-0.800972)
(-1.11742,-0.1875)
(1.23983,-0.981309)
(0.637974,0.213405)
(-0.976795,0.319091)
(0.25291,1.21985)
(-0.603893,-0.944263)
(0.412296,-0.39436)
(0.530909,-0.0446072)
(-0.423405,0.42747)
(-0.0923879,-0.383327)
(-0.0348165,0.661138)
(0.302368,-0.123016)
(-0.0829599,-0.386431)
(-0.552734,0.312852)
(0.402187,-0.841011)
(0.787159,0.925302)
(-1.07685,-0.14904)
(0.20224,-0.0909434)
(-0.0697844,0.292143)
(0.571443,-0.555946)
(-0.291773,0.0252009)
(-0.253821,0.358402)
(0.0642502,-0.232842)
(0.0957771,0.306075)
(0.348316,-0.533171)
(-0.538737,0.983863)
(0.73361,-0.828707)
(-1.32329,-0.528435)
(0.556527,0.996924)
(0.878218,-0.245621)
(-0.0194674,0.276103)
(-1.17179,-0.396775)
(0.166575,-0.0740454)
(0.177048,0.0314956)
(0.754006,-0.216034)
(-0.404645,0.884417)
(0.228737,-0.753377)
(-1.15169,0.522618)
(0.59352,-0.715114)
(0.621439,0.507865)
(-0.170725,-0.254684)
(-0.186774,-0.00654623)
(-0.830745,0.33686)
(1.11311,0.13777)
(0.0178956,-0.526559)
(-0.463871,0.295368)
(-0.244812,-0.663462)
(0.208814,0.495163)
(0.435612,0.520634)
(-0.054142,-0.167604)
(-0.263745,-0.0447552)
(-0.552092,-0.906532)
(0.75684,-0.0309165)
(-0.0305776,1.15559)
(0.0406589,0.188209)
(-0.71975,-0.114846)
(0.956992,-1.60999)
(-0.543787,0.961126)
(0.00238443,0.243626)
(0.161775,-0.30248)
(-0.0360727,0.724575)
(-0.464799,-0.0205026)
(1.14625,-1.00288)
(-0.775384,-0.390802)
(-0.0928301,0.861136)
(-0.180166,0.644768)
(0.435062,-0.0654405)
(0.173848,-0.670778)
(-0.132329,-0.609721)
(-0.330908,-0.0492872)
(0.245098,1.85752)
(-0.0434766,-0.97873)
(-0.452623,-0.155057)
(0.696775,-0.431132)
(0.306708,0.667824)
(-0.754621,-0.344266)
(-0.191926,0.180434)
(0.32296,-0.0873677)
(0.407706,0.330254)
(-0.462775,-0.217396)
(0.299339,-0.515775)
(-0.420181,0.534038)
(0.620848,-0.0871649)
(-0.799445,0.336439)
(0.237145,-0.749701)
(0.635939,0.686039)
(-0.0870263,-0.27624)
(-1.02774,-0.193473)
(0.599724,0.0715707)
(0.276811,0.600083)
(0.0501771,-0.654648)
(-0.357102,-0.092177)
(-0.041257,0.264441)
(-0.0160749,0.442107)
(0.283457,-0.432809)
(-0.235382,-0.488267)
(0.518374,0.711748)
(-0.375954,-0.411761)
(-0.591212,0.386328)
(0.572233,0.169039)
(0.233222,-0.748986)
(-0.331194,0.143428)
(0.380888,0.439814)
(-0.352538,-0.0561027)
(-0.198415,-0.566815)
(0.0744806,1.09642)
(0.186741,-1.17033)
(0.236227,0.709052)
(0.044816,-0.254189)
(-0.361663,-0.289208)
(-0.203375,0.202817)
(-0.20399,0.979126)
(0.717306,-0.997841)
(0.640863,-0.384347)
(-1.57048,0.420687)
(0.652457,0.518814)
(0.261538,-0.601631)
(-0.383564,0.320313)
(0.0725482,-0.140077)
(0.102993,-0.0359983)
(0.0924686,0.462331)
(-0.00349961,-1.18253)
(0.00247202,0.5103)
(-0.224993,1.12342)
(-0.22894,-0.722516)
(0.167458,-0.445692)
(0.688609,0.280521)
(-0.277935,-0.800972)
(-0.393306,1.375)
(0.121303,0.142244)
(-0.322252,-0.972942)
(0.0971024,-0.264181)
(0.872418,0.77774)
(-0.451954,-0.201684)
(-0.186169,-0.127251)
(-0.0859936,0.188081)
(-0.219909,0.0841388)
(0.335503,-0.559605)
(-0.0387515,0.762164)
(0.344287,-0.513506)
(0.122405,-0.0627766)
(-0.642622,0.0992244)
(-0.0242249,0.363838)
(-0.314347,-0.119909)
(0.412686,-0.412827)
(1.24306,0.5599)
(-0.806476,-0.712201)
(-0.828709,0.475966)
(-0.0966851,-0.0158859)
(0.744174,-0.243203)
(-0.0491947,0.82578)
(0.387465,-0.322766)
(-0.32106,-1.27049)
(-0.024195,0.573648)
(-0.790287,0.647344)
(0.624436,0.817247)
(-0.0529475,-0.917742)
(0.712417,-1.14845)
(-0.486719,0.545833)
(0.163819,0.595332)
(-1.2069,0.836748)
(0.808606,-1.08278)
(0.559035,-0.312623)
(-0.119275,0.300639)
(-0.597351,0.0742981)
(0.263112,0.0884579)
(0.265489,-0.228312)
(-0.533139,1.02006)
(-0.0445623,-1.11471)
(0.661778,-0.356338)
(-0.194759,0.540791)
(-0.258101,0.390798)
(0.593608,0.34464)
(-0.966297,-0.843452)
(-0.109744,-0.58732)
(1.30005,0.67091)
(-0.618035,0.974557)
(-0.209198,-0.786431)
(0.394946,-0.442164)
(-0.739699,0.0171828)
(0.671402,0.393758)
(-0.65467,0.39169)
(1.02839,-0.457472)
(-0.32026,-0.129301)
(-0.833843,0.228095)
(0.868709,-0.197088)
(-0.47631,-0.387612)
(0.124207,1.17371)
(0.190627,-0.335276)
(0.0920144,-0.8313)
(-0.252239,0.390135)
(-0.31303,-0.0971425)
(0.452665,0.611136)
(-0.0810896,-0.271707)
(0.382417,-0.216569)
(-0.863647,-0.239824)
(0.485502,0.547963)
(-0.355568,-0.341977)
(1.37601,0.0866251)
(-1.74101,0.411333)
(0.628577,-0.500284)
(-0.0220698,-0.529411)
(0.372642,1.1772)
(-0.247961,-0.166674)
(-0.263678,-0.87569)
(0.25917,0.262739)
(0.42245,1.02255)
(-0.952644,-1.30284)
(0.131119,0.425914)
(0.944372,0.304412)
(-0.490016,0.262882)
(-0.0561885,-1.02232)
(-0.464868,0.437262)
(0.446564,0.255793)
(0.447308,0.0719957)
(-1.0241,-0.175247)
(0.720788,-0.187345)
(0.259962,0.308621)
(-0.506515,-0.555928)
(-0.276364,0.700206)
(0.309841,-0.423745)
(0.361666,0.379344)
(-0.808412,-0.306063)
(1.21892,0.017657)
(-0.609933,-0.199045)
(-0.501308,0.409779)
