(-1.26184,0.146353)
(0.291254,0.0690622)
(1.19811,-0.934737)
(-0.918584,0.064928)
(0.857099,1.30228)
(-0.723055,-1.08377)
(0.0489643,0.599013)
(-0.13073,-0.6965)
(0.0311693,0.768104)
(0.487815,-0.706806)
(-0.153383,0.43343)
(-0.145328,-0.280208)
(0.215357,0.334287)
(-0.815965,-0.0903285)
(0.676206,0.43691)
(0.0435604,-1.35986)
(0.280736,0.758774)
(-0.78199,0.575756)
(0.657566,-0.336772)
(-0.452289,-0.366096)
(-0.421513,0.381532)
(1.57467,-0.476339)
(-0.932982,0.138767)
(-0.861472,0.708062)
(0.919169,-0.329907)
(0.480375,-0.87878)
(-0.546967,0.686042)
(-0.429999,0.523356)
(0.295093,-0.490448)
(0.295569,-0.623092)
(-0.347664,0.743374)
(0.58111,0.0227525)
(-0.48501,-0.102337)
(-0.277186,-0.12797)
(0.536838,-0.0793723)
(-0.593219,0.0893122)
(0.654735,0.0971295)
(0.172298,-0.258802)
(-0.703331,0.795094)
(0.251763,-0.878652)
(-0.442767,0.0530719)
(1.06661,0.341801)
(-1.05373,-0.522594)
(0.570585,1.23003)
(0.518188,-0.927296)
(-1.02669,-0.0946672)
(-0.0216414,-0.216061)
(0.174031,0.286722)
(0.842401,1.05983)
(-0.383569,-0.959613)
(-0.165974,-0.433988)
(-0.866838,0.0998674)
(1.06925,0.606119)
(-0.139674,0.15672)
(0.0405678,-0.380129)
(-0.161191,-0.260709)
(-0.25563,0.259116)
(0.460019,-0.321073)
(-0.159789,0.431876)
(-0.539153,0.446277)
(0.915257,-0.849789)
(-0.434377,0.107412)
(0.258477,-0.0468192)
(-0.600639,0.325626)
(-1.26184,0.146353)
(0.291254,0.0690622)
(1.19811,-0.934737)
(-0.918584,0.064928)
(0.857099,1.30228)
(-0.723055,-1.08377)
(0.0489643,0.599013)
(-0.13073,-0.6965)
(0.0311693,0.768104)
(0.487815,-0.706806)
(-0.153383,0.43343)
(-0.145328,-0.280208)
(0.215357,0.334287)
(-0.815965,-0.0903285)
(0.676206,0.43691)
(0.0435604,-1.35986)
(0.280736,0.758774)
(-0.78199,0.575756)
(0.657566,-0.336772)
(-0.452289,-0.366096)
(-0.421513,0.381532)
(1.57467,-0.476339)
(-0.932982,0.138767)
(-0.861472,0.708062)
(0.919169,-0.329907)
(0.480375,-0.87878)
(-0.546967,0.686042)
(-0.429999,0.523356)
(0.295093,-0.490448)
(0.295569,-0.623092)
(-0.347664,0.743374)
(0.58111,0.0227525)
(-0.48501,-0.102337)
(-0.277186,-0.12797)
(0.536838,-0.0793723)
(-0.593219,0.0893122)
(0.654735,0.0971295)
(0.172298,-0.258802)
(-0.703331,0.795094)
(0.251763,-0.878652)
(-0.442767,0.0530719)
(1.06661,0.341801)
(-1.05373,-0.522594)
(0.570585,1.23003)
(0.518188,-0.927296)
(-1.02669,-0.0946672)
(-0.0216414,-0.216061)
(0.174031,0.286722)
(0.842401,1.05983)
(-0.383569,-0.959613)
(-0.165974,-0.433988)
(-0.866838,0.0998674)
(1.06925,0.606119)
(-0.139674,0.15672)
(0.0405678,-0.380129)
(-0.161191,-0.260709)
(-0.25563,0.259116)
(0.460019,-0.321073)
(-0.159789,0.431876)
(-0.539153,0.446277)
(0.915257,-0.849789)
(-0.434377,0.107412)
(0.258477,-0.0468192)
(-0.600639,0.325626)
(0.268413,0.281311)
(0.011907,-0.296825)
(0.488771,-0.631347)
